election_txt,election_year,candidate_name,committee_name,party_affiliation,total,total_spent,grassroots,instate
2014 General Election,2014,Lew Frederick,Friends of Lew Frederick,Working Families,143732.39,148429.57,0.198168,0.799444
2014 General Election,2014,Lew Frederick,Friends of Lew Frederick,Democrat,143732.39,148429.57,0.198168,0.799444
2014 General Election,2014,Paul Evans,Friends of Paul Evans,Democrat,539519.94,214678.18,0.0641217,0.940374
2014 General Election,2014,Michael Dembrow,Friends of Michael Dembrow,Working Families,231547.07,241130.19,0.172494,0.741598
2014 General Election,2014,Elizabeth Steiner Hayward,Friends of Elizabeth Steiner Hayward,Democrat,323662.42,293871.45,0.0455983,0.653157
2014 General Election,2014,Alissa Keny-Guyer,Friends of Alissa Keny-Guyer,Democrat,208296.56,190444.38,0.179007,0.620155
2014 General Election,2014,Tina Kotek,Friends of Tina Kotek,Working Families,1249455.51,1190925.44,0.0249647,0.796248
2014 General Election,2014,David Gomberg,Gomberg for State Rep,Democrat,264267.55,169125.83,0.0749559,0.866515
2014 General Election,2014,Peter Courtney,Peter Courtney for State Senate,Working Families,976064.85,880116.669999999,0.00614905,0.87144
2014 General Election,2014,John Kitzhaber,Kitzhaber for Governor,Democrat,5561122.21999999,6310467.08000001,0.0514097,0.769173
2014 General Election,2014,Lee Beyer,Friends of Lee Beyer,Democrat,271766.23,225339.97,0.0060162,0.798871
2014 General Election,2014,Floyd Prozanski,Friends for Floyd Prozanski,Working Families,130451.32,99390.96,0.0316717,0.840886
2014 General Election,2014,Richard Devlin,Friends of Richard Devlin,Working Families,548441.01,347097.67,0.00518467,0.89755
2014 General Election,2014,Kathleen Taylor,Kathleen Taylor for Oregon,Democrat,189189.4,200501.47,0.0885754,0.57755
2014 General Election,2014,Alan Bates,Committee to Elect Dr. Alan Bates,Working Families,817763.65,624990.98,0.0498875,0.882127
2014 General Election,2014,Stephanie Nystrom,Friends of Stephanie Nystrom,Democrat,93353.42,66723.02,0.268712,0.77647
2014 General Election,2014,Ann Lininger,Friends of Ann Lininger,Democrat,168034.1,143384.55,0.0734435,0.891032
2014 General Election,2014,Wanda Davis,Friends of Wanda Davis,Democrat,35741.28,28530.04,0.131945,0.893292
2014 General Election,2014,Susan McLain,Friends of Susan McLain,Democrat,688340.1,219365.32,0.0411735,0.940138
2014 General Election,2014,Chuck Riley,Friends of Chuck Riley,Working Families,951146.33,261393.02,0.0336077,0.881898
2014 General Election,2014,Chuck Riley,Friends of Chuck Riley,Democrat,951146.33,261393.02,0.0336077,0.881898
2014 General Election,2014,Barbara Smith Warner,Team BSW,Democrat,112641.87,104889.26,0.177107,0.784784
2014 General Election,2014,Brian Clem,Oregonians for Clem,Working Families,318271.29,273025.13,0.0400463,0.884401
2014 General Election,2014,Ken Moore,Friends of Ken Moore,Democrat,95655.9,102590.22,0.299388,0.671484
